cell_id,developmental_age,cell_type
SRR18125694,E15.5,sgn
SRR18125701,E15.5,sgn
SRR18125704,E15.5,sgn
SRR18125719,E15.5,sgn
SRR18125731,E15.5,sgn
SRR18125738,E15.5,sgn
SRR18125748,E15.5,sgn
SRR18125760,E15.5,sgn
SRR18125754,E15.5,sgn
SRR18125755,E15.5,sgn
SRR18125770,E15.5,sgn
SRR18125777,E15.5,sgn
SRR18125778,E15.5,sgn
SRR18125790,E15.5,sgn
SRR18125789,E15.5,sgn
SRR18125784,E15.5,sgn
SRR18125803,E15.5,sgn
SRR18125796,E15.5,sgn
SRR18125809,E15.5,sgn
SRR18125815,E15.5,sgn
SRR18125814,E15.5,sgn
SRR18125833,E15.5,sgn
SRR18125825,E15.5,sgn
SRR18125838,E15.5,sgn
SRR18125843,E15.5,sgn
SRR18125846,E15.5,sgn
SRR18125857,E15.5,sgn
SRR18125859,E15.5,sgn
SRR18125867,E15.5,sgn
SRR18125864,E15.5,sgn
SRR18125873,E15.5,sgn
SRR18125872,E15.5,sgn
SRR18125877,E15.5,sgn
SRR18125881,E15.5,sgn
SRR18125888,E15.5,sgn
SRR18125895,E15.5,sgn
SRR18125897,E15.5,sgn
SRR18125921,E15.5,sgn
SRR18125917,E15.5,sgn
SRR18125918,E15.5,sgn
SRR18125927,E15.5,sgn
SRR18125932,E15.5,sgn
SRR18125940,E15.5,sgn
SRR18125935,E15.5,sgn
SRR18125958,E17.5,sgn
SRR18125960,E17.5,sgn
SRR18125984,E17.5,sgn
SRR18125994,E17.5,sgn
SRR18126009,E17.5,sgn
SRR18126005,E17.5,sgn
SRR18126019,E17.5,sgn
SRR18126016,E17.5,sgn
SRR18126023,E17.5,sgn
SRR18126024,E17.5,sgn
SRR18126031,E17.5,sgn
SRR18126032,E17.5,sgn
SRR18126029,E17.5,sgn
SRR18126042,E17.5,sgn
SRR18126043,E17.5,sgn
SRR18126039,E17.5,sgn
SRR18126061,E17.5,sgn
SRR18126062,E17.5,sgn
SRR18126063,E17.5,sgn
SRR18126069,E17.5,sgn
SRR18126103,E17.5,sgn
SRR18126125,E16.5,sgn
SRR18126126,E16.5,sgn
SRR18126134,E16.5,sgn
SRR18126145,E16.5,sgn
SRR18126149,E16.5,sgn
SRR18126162,E16.5,sgn
SRR18126165,E16.5,sgn
SRR18126171,E16.5,sgn
SRR18126176,E16.5,sgn
SRR18126175,E16.5,sgn
SRR18126181,E16.5,sgn
SRR18126187,E16.5,sgn
SRR18126188,E16.5,sgn
SRR18126191,E16.5,sgn
SRR18126196,E16.5,sgn
SRR18126210,E16.5,sgn
SRR18126228,E14.5,sgn
SRR18126226,E14.5,sgn
SRR18126230,E14.5,sgn
SRR18126232,E14.5,sgn
SRR18126237,E14.5,sgn
SRR18126253,E14.5,sgn
